seqid	RNA1	RNA2	RNA3	RNA4
188	0.6943	1.068	1.3	1.418
189	0.5576	0.784	0.98	1.098
190	0.8276	1.116	1.301	1.341
191	0.873	1.113	1.368	1.458
192	1.19	1.423	1.495	1.005
193	0.8066	0.997	1.226	1.328
194	0.74	0.915	1.036	1.018
195	1.082	1.256	1.485	1.583
196	0.8516	1.085	1.236	1.233
197	0.793	1.114	1.326	1.467
198	1.01	1.237	1.422	1.47
199	0.443	0.292	0.883	0.964
200	0.936	1.224	1.439	1.563
201	0.7534	1.182	1.416	1.535
202	0.8755	1.041	1.135	1.187
203	0.9336	1.348	1.529	1.577
204	0.9214	1.21	1.408	1.446
205	0.973	1.2	1.377	1.4795
206	0.626	0.938	1.206	1.344
207	0.649	0.8423	1.068	1.18
208	0.873	1.206	1.39	1.517
209	0.5767	0.8574	1.12	1.219
210	0.798	1.018	1.164	1.195
211	0.8916	1.22	1.394	1.469
212	0.813	0.987	1.148	1.168
213	0.9697	1.192	1.394	1.449
214	0.8994	1.152	1.324	1.389
215	0.441	0.652	0.8594	0.9478
216	0.914	1.075	1.283	1.343
217	0.657	0.9424	1.112	1.272
218	0.971	1.148	1.315	1.368
219	1.014	1.278	1.495	1.595
220	0.762	0.955	1.085	1.149
221	1.097	1.364	1.546	1.624
222	0.897	1.191	1.393	1.374
223	0.869	1.084	1.401	1.573
224	1.032	1.329	1.607	1.689
225	1.021	1.147	1.318	1.412
226	1.03	1.284	1.457	1.545
227	0.963	1.187	1.335	1.402
228	0.982	1.29	1.496	1.568
229	0.9775	1.243	1.376	1.405
230	0.704	0.9033	1.052	1.135
231	0.975	1.281	1.535	1.704
232	0.8867	0.9697	1.15	1.233
233	0.8564	1.005	1.224	1.26
234	0.61	0.7666	0.968	1.053
235	0.8496	1.151	1.375	1.457
236	1.091	1.278	1.48	1.597
237	0.8955	1.093	1.248	0.9023
238	0.938	1.102	1.321	1.453
239	0.4287	0.667	0.8604	0.9146
240	0.9097	1.239	1.46	1.541
241	0.925	1.013	1.149	1.198
242	0.646	0.8506	1.023	1.062
243	0.9463	1.161	1.364	1.414
244	0.9995	1.23	1.438	1.521
245	0.9526	1.289	1.47	1.58
246	0.956	1.162	1.362	1.441
247	0.9126	1.076	1.271	1.441
248	0.6826	0.9424	1.135	1.274
249	1.008	1.245	1.404	1.531
250	1.007	1.269	1.407	1.48
251	0.617	0.839	1.018	1.135
252	0.949	1.182	1.412	1.511
253	0.7993	1.045	1.261	1.351
254	0.771	1.011	1.204	1.295
255	0.9043	1.122	1.326	1.439
256	0.977	1.107	1.306	1.417
257	0.678	0.8315	0.9785	1.087
258	0.9893	1.155	1.317	1.379
259	0.765	1.04	1.238	1.335
260	1.062	1.234	1.382	1.449
261	0.8896	1.128	1.3125	1.424
262	0.899	1.144	1.241	1.346
263	0.6753	0.8184	0.9526	1.0205
264	0.877	1.02	1.171	1.262
265	0.934	1.162	1.334	1.353
266	1.036	1.213	1.47	1.524
267	0.4292	0.558	0.7266	0.4126
268	1.046	1.261	1.522	1.573
269	0.912	1.168	1.437	1.583
270	0.886	1.108	1.371	1.424
271	1.082	1.25	1.332	1.377
272	0.7085	0.911	1.098	1.191
273	1.016	1.237	1.382	1.454
274	0.967	1.154	1.428	1.55
275	1.03	1.318	1.441	1.468
276	0.8467	1.088	1.297	1.419
277	0.6055	0.9062	1.08	1.158
278	0.7295	0.9385	1.1045	1.137
279	0.825	1.1455	1.328	1.429
280	0.6636	0.897	1.113	1.22
281	0.8667	1.228	1.488	1.604
282	0.776	0.949	1.164	1.243
283	0.863	1.07	1.29	1.371
284	0.8447	1.036	1.442	1.613
285	0.748	0.8765	1.0625	1.127
286	0.706	0.942	1.138	1.208
287	1.035	1.224	1.329	1.358
288	0.5327	0.8135	1.046	1.143
289	0.8877	1.096	1.221	1.277
290	0.86	1.046	0.809	0.852
291	0.544	0.851	0.6826	0.7036
292	0.7812	1.079	1.305	1.413
293	0.5967	0.7515	0.952	1.034
294	0.7974	0.9673	1.217	1.419
295	1.099	1.3955	1.606	1.684
296	1.009	1.175	1.415	1.523
297	1.096	1.31	1.486	1.574
298	0.7275	0.8984	1.118	1.249
299	0.9756	1.151	1.309	1.28
300	0.829	1.141	1.293	0.951
301	0.751	0.894	1.055	1.11
302	0.7036	0.8813	1.08	1.159
303	0.805	1.113	1.347	1.516
304	0.5376	0.773	0.977	1.056
305	0.9727	1.293	1.473	1.517
306	0.989	1.131	1.321	1.438
307	0.77	0.946	1.161	1.221
308	0.87	1.054	1.191	1.241
309	0.9644	1.095	1.325	1.46
310	0.7676	0.965	1.206	1.346
311	1.088	1.414	1.685	1.793
312	0.8457	1.032	1.195	1.24
313	0.938	1.252	1.426	1.535
314	0.9463	1.203	1.406	1.475
315	0.924	1.172	1.366	1.449
316	0.6875	0.849	1.147	1.253
317	0.8	1.04	1.191	1.214
318	0.772	1.036	1.162	1.205
319	0.613	0.85	1.066	1.18
320	1.019	1.182	1.438	1.573
321	0.6904	0.971	1.202	1.304
322	0.7197	0.979	1.24	1.405
323	0.9473	1.148	1.284	1.359
324	0.8228	1.107	1.238	1.361
325	1.101	1.366	1.578	1.615
326	0.9043	1.095	1.24	1.362
327	0.992	1.191	1.342	1.447
328	0.5713	0.8423	1.119	1.23
329	0.801	1.029	1.277	1.316
330	1.098	1.291	1.416	1.443
331	0.6777	0.87	1.026	1.105
332	0.6294	0.806	1.069	1.1455
333	0.8057	0.9346	1.091	1.162
334	0.608	0.86	1.051	1.144
335	0.761	0.9375	1.227	1.35
336	0.642	0.75	0.951	1.107
337	0.9375	1.217	1.432	1.537
338	1.1045	1.306	1.438	1.43
339	0.812	1.026	1.239	1.311
340	1.067	1.278	1.508	1.6045
341	0.5103	0.703	0.8887	1.011
342	1.109	1.313	1.454	1.527
343	0.9146	1.12	1.271	1.373
344	0.9263	1.255	1.399	1.456
345	0.8936	1.205	1.382	1.467
346	0.6504	0.855	1.096	1.161
347	0.9126	1.198	1.399	1.484
348	0.8223	0.9663	1.069	1.168
349	1.068	1.301	1.463	1.563
350	0.9507	1.245	1.509	1.62
351	0.8735	1.126	1.463	1.6045
352	0.3862	0.777	1.014	1.265
353	0.832	1.078	1.309	1.466
354	0.947	1.091	1.188	1.1875
355	0.937	1.239	1.409	1.479
356	1.026	1.368	1.549	1.711
357	0.913	1.227	1.45	1.593
358	0.9937	1.21	1.422	1.505
359	0.7817	1.06	1.288	1.3545
360	0.9067	1.174	1.322	1.402
361	0.967	1.181	1.417	1.466
362	0.983	1.184	1.293	1.377
